@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
4,1,1114707,1623528
5,2,377471,1623533
7,2,-1,1623538
6,5,-1,1623554
7,4,368528,1623559
7,3,-1,1623565
7,2,396903,1623571
6,4,392316,1623580
9,9,-1,1623591
9,8,-1,1623599
5,5,-1,1623758
5,4,-1,1623762
2,1,395993,1623764
2,2,358631,1623767
2,1,385711,1623768
2,1,392980,1623770
2,1,384995,1623772
3,1,390865,1623774
3,1,-1,1623777
3,3,397059,1623782
3,2,1114688,1623784
3,1,-1,1623786
3,3,378952,1623791
3,1,-1,1623792
3,3,386647,1623797
3,3,-1,1624716
3,1,391021,1624717
4,1,-1,1624720
3,3,302072,1624726
3,1,1113948,1624727
4,2,-1,1624731
4,1,394823,1624734
4,2,398867,1624739
4,2,379327,1624743
4,4,-1,1624749
4,3,365769,1624752
4,1,337039,1624754
4,2,381628,1624759
4,4,306634,1624765
4,1,385920,1624766
4,4,-1,1624773
3,1,390430,1624774
3,3,368489,1624779
3,1,395304,1624780
3,2,306831,1624784
3,3,337391,1624788
3,1,388388,1624789
3,2,377824,1624793
3,3,321113,1624797
3,3,373232,1624800
5,2,393159,1624802
5,1,361544,1624806
6,6,393061,1624816
6,4,-1,1624820
6,2,-1,1624824
6,6,-1,1624834
6,5,-1,1624839
6,2,330631,1624842
6,6,-1,1624852
6,4,-1,1624856
6,1,-1,1624859
6,5,-1,1624869
6,3,397622,1624873
5,2,337560,1624878
5,5,-1,1624886
5,4,-1,1624890
5,3,379656,1624894
5,2,-1,1624898
5,5,-1,1624906
5,2,-1,1624908
5,5,394862,1624916
5,2,384217,1624918
5,3,-1,1624924
5,5,397241,1624931
5,3,-1,1624934
5,1,-1,1624937
5,3,744764,1624944
5,2,373284,1624948
5,1,744221,1624952
5,5,337393,1624961
5,4,-1,1624965
6,6,-1,1624972
6,3,744739,1624975
7,1,-1,1624979
7,7,-1,1624992
7,6,368319,1624998
6,4,-1,1625003
6,3,-1,1625013
6,1,275848,1625017
5,5,-1,1625027
5,1,-1,1625028
5,3,-1,1625035
5,2,-1,1625039
5,1,399287,1625043
5,3,359193,1625050
5,4,-1,1625056
5,2,-1,1625059
5,3,-1,1625065
5,2,396359,1625069
5,3,-1,1625075
5,2,306789,1625079
7,1,393228,1625083
7,5,-1,1625094
7,4,-1,1625100
7,3,-1,1625106
6,1,-1,1625116
6,6,-1,1625127
6,3,-1,1625130
7,7,366334,1625140
7,4,393133,1625144
7,3,-1,1625150
9,1,-1,1625155
9,8,-1,1625171
9,7,-1,1625179
9,2,-1,1625212
9,6,-1,1625264
9,3,-1,1625270
9,2,-1,1625278
9,1,395203,1625286
9,7,-1,1625301
8,1,-1,1625304
8,8,1485184,1625319
7,4,-1,1625323
6,6,-1,1625344
5,4,294932,1625452
5,5,-1,1625458
6,6,381513,1625464
4,3,-1,1625467
3,1,398866,1625469
2,2,391042,1625473
4,1,-1,1625474
4,3,-1,1625480
5,1,-1,1625482
5,5,-1,1625491
5,3,-1,1625494
3,3,361192,1625510
3,1,395240,1625511
3,1,-1,1625520
3,3,395219,1625525
3,3,-1,1625528
3,2,366305,1625530
4,1,-1,1625532
4,4,-1,1625539
4,1,743770,1625540
4,1,393161,1625544
3,1,-1,1625568
3,1,-1,1625571
4,4,-1,1625577
5,4,-1,1625581
6,3,-1,1625585
6,3,-1,1625591
6,5,-1,1625599
6,3,-1,1625603
6,2,398923,1625608
6,2,-1,1625614
5,1,744343,1625619
2,1,363950,1625624
2,1,385923,1625626
2,2,366332,1625629
2,2,744140,1625631
2,1,377104,1625632
2,1,743965,1625634
2,1,271129,1625636
2,2,306634,1625639
2,1,337744,1625640
2,1,368526,1625642
2,2,399036,1625645
2,2,368515,1625647
2,2,211627,1625649
2,2,302071,1625651
2,1,382177,1625652
3,3,392966,1627124
3,2,-1,1627126
3,2,1114529,1627129
3,3,368643,1627133
3,2,398879,1627135
4,2,-1,1627138
4,1,-1,1627141
4,4,744683,1627148
4,2,-1,1627150
5,2,-1,1627175
5,4,359177,1627182
4,2,335376,1627185
5,5,180688,1627192
4,1,-1,1627193
4,4,-1,1627200
4,3,391952,1627203
4,4,-1,1627208
4,4,379679,1627212
4,2,-1,1627214
4,2,397241,1627218
4,4,-1,1627224
4,2,-1,1627226
4,1,398543,1627229
4,4,390988,1627236
4,1,-1,1627237
3,1,337771,1627241
3,1,377430,1627244
3,3,-1,1627249
3,2,358969,1627251
4,2,-1,1627254
4,1,381344,1627257
4,1,743099,1627261
4,2,386009,1627266
3,3,395343,1627271
3,3,382241,1627274
3,1,2191490,1627275
3,3,396878,1627280
3,2,-1,1627282
3,1,395980,1627284
2,2,368447,1627288
2,1,365950,1627289
2,1,394712,1627291
