@relation 'riverRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute riverRank numeric
@attribute id numeric

@data
6,3,-1,1625603
6,2,744686,1625608
6,2,-1,1625614
5,1,744345,1625619
2,1,391036,1625624
2,1,385923,1625626
2,2,391036,1625629
2,2,744143,1625631
2,1,743465,1625632
2,1,743969,1625634
2,1,386092,1625636
2,2,368713,1625639
2,1,368712,1625640
2,1,377867,1625642
2,2,399091,1625645
2,2,388853,1625647
2,2,1114651,1625649
2,2,379880,1625651
2,1,744171,1625652
3,3,744157,1627124
3,2,-1,1627126
3,2,2179957,1627129
3,3,368697,1627133
3,2,399103,1627135
4,2,-1,1627138
4,1,-1,1627141
4,4,744683,1627148
4,2,-1,1627150
5,2,-1,1627175
5,4,359179,1627182
4,2,1115863,1627185
5,5,1485178,1627192
4,1,-1,1627193
4,4,-1,1627200
4,3,392994,1627203
4,4,-1,1627208
4,4,379685,1627212
4,2,-1,1627214
4,2,744582,1627218
4,4,-1,1627224
4,2,-1,1627226
4,1,1116042,1627229
4,4,391021,1627236
4,1,-1,1627237
3,1,337771,1627241
3,1,377486,1627244
3,3,-1,1627249
3,2,398923,1627251
4,2,-1,1627254
4,1,382037,1627257
4,1,743103,1627261
4,2,386089,1627266
3,3,744288,1627271
3,3,2222573,1627274
3,1,2191490,1627275
3,3,396895,1627280
3,2,-1,1627282
3,1,2182141,1627284
2,2,368515,1627288
2,1,395415,1627289
2,1,394712,1627291
2,1,744335,1627293
3,3,-1,1627297
3,1,386064,1627298
3,3,-1,1627303
3,2,744222,1627305
3,1,-1,1627307
4,1,2162565,1627310
4,3,744650,1627316
4,2,743609,1627319
4,1,395413,1627322
4,4,744677,1627329
4,3,-1,1627332
4,1,-1,1627334
3,2,-1,1627339
3,1,375460,1627341
4,1,2227778,1627344
4,3,-1,1627350
4,2,-1,1627353
4,3,-1,1627358
4,2,-1,1627361
4,4,1485179,1627367
4,4,395439,1627371
4,3,-1,1627374
4,2,744716,1627377
4,1,-1,1627380
4,4,397090,1627387
4,2,380062,1627389
6,1,-1,1627392
6,6,-1,1627403
5,4,-1,1627407
5,3,-1,1627411
5,4,-1,1627417
5,3,-1,1627421
5,5,384276,1627428
5,3,-1,1627431
5,5,-1,1627438
5,4,-1,1627442
5,3,-1,1627446
5,1,390850,1627449
5,4,-1,1627480
5,3,-1,1627484
5,1,743987,1627487
5,5,395401,1627496
3,3,2227894,1627502
3,3,-1,1627505
3,1,2217813,1627690
3,1,743455,1627693
3,3,743116,1627698
3,2,399613,1627700
3,3,399655,1627704
3,2,743605,1627706
4,1,-1,1627846
4,4,-1,1627868
3,2,368671,1627870
3,3,363926,1627874
3,2,744676,1627876
4,2,397091,1627879
3,1,-1,1627882
3,3,-1,1627887
3,3,397219,1627890
2,1,743944,1627891
2,2,1485178,1627894
2,1,373108,1627895
2,1,744526,1627897
2,2,744572,1627900
2,2,368163,1627902
2,1,365968,1627903
2,2,743492,1627906
2,1,383881,1627907
2,1,390135,1627909
2,1,363757,1627911
2,2,1114536,1627914
2,1,2194040,1627915
2,1,1485181,1627917
3,3,-1,1627921
4,2,744314,1627929
4,1,-1,1627932
3,2,744010,1627937
3,2,-1,1627940
4,4,2227808,1627948
4,3,-1,1627951
4,2,-1,1627954
3,1,742933,1627957
3,3,-1,1627962
4,2,-1,1627964
4,1,-1,1627967
4,4,392866,1627974
3,3,399655,1628070
4,2,-1,1628072
4,3,-1,1628077
5,2,744153,1628080
5,1,384457,1628084
6,1,-1,1628089
7,5,-1,1628099
7,2,-1,1628103
7,5,-1,1628113
7,5,-1,1628155
8,3,-1,1628160
8,2,-1,1628167
9,8,-1,1628220
9,7,396908,1628228
9,5,-1,1628235
8,4,-1,1628243
7,2,1115718,1628249
5,5,744561,1628259
3,2,393205,1630361
4,1,-1,1630363
4,2,-1,1630368
4,4,-1,1630374
4,3,-1,1630377
4,1,-1,1630379
4,3,-1,1630385
4,2,-1,1630388
4,1,-1,1630391
4,2,-1,1630396
4,1,-1,1630399
4,4,-1,1630406
4,3,-1,1630409
4,1,-1,1630411
4,4,-1,1630418
4,3,2227921,1630421
4,2,-1,1630424
4,4,-1,1630430
4,2,1485180,1630432
4,4,-1,1630438
4,2,-1,1630440
4,2,-1,1630444
4,1,-1,1630447
4,3,-1,1630453
4,1,743807,1630455
4,4,-1,1630462
4,3,399651,1630465
4,2,744465,1630468
4,1,-1,1630471
4,4,2155608,1630478
2,2,384459,1630480
2,1,1115059,1630481
2,2,363951,1630484
2,1,384274,1630485
2,1,1485179,1630487
2,2,743657,1630490
2,2,744144,1630492
2,1,743648,1630493
2,2,1485177,1630496
5,5,-1,1631546
5,4,-1,1631550
6,2,-1,1631553
7,5,-1,1631562
6,2,-1,1631566
5,1,-1,1631571
5,4,744223,1631579
5,1,744556,1631581
6,4,-1,1631589
6,1,-1,1631592
6,5,397627,1631602
6,4,-1,1631607
6,2,-1,1631611
6,1,-1,1631616
6,3,-1,1631624
6,2,383896,1631629
4,4,744209,1631637
3,2,397247,1631639
3,3,1115624,1631643
3,2,744301,1631645
3,1,-1,1631647
3,3,-1,1631652
3,3,394895,1631655
3,3,-1,1631658
3,1,744635,1631659
