@relation 'Flop Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
7,2,382255,2,210,7206,140,c:20
4,2,1114522,3,360,7721,140,c:0
7,2,1115043,3,370,7941,320,c:20
5,1,395187,2,360,8506,260,c:20
5,2,744292,2,210,8806,180,c:20
7,4,744701,2,350,51838,240,c:20
5,2,399654,2,180,52688,160,c:20
6,1,390976,2,300,52698,220,c:20
3,1,1115310,2,340,132444,240,r:40
3,2,399634,2,170,132624,120,c:20
6,4,744516,3,410,136907,200,c:20
3,1,388819,2,240,129062,100,c:20
4,2,363207,2,250,129542,100,c:20
6,6,744389,2,390,129762,260,c:20
6,2,1115183,3,300,129502,260,c:0
3,3,1485180,2,340,172925,280,c:20
4,2,388739,2,210,172290,140,c:20
3,1,394891,2,240,159442,120,c:20
6,1,393614,2,300,213086,180,c:20
7,2,1116060,2,210,307671,260,c:20
6,1,743793,2,240,3467,340,c:20
4,4,377677,2,320,7342,227,c:20
5,3,399245,3,330,19781,180,r:20
5,2,1114821,4,650,20331,240,r:40
4,3,394487,2,270,270666,160,c:20
8,3,397273,2,250,406246,260,c:20
4,2,391029,3,310,4436,220,c:20
7,1,397244,3,500,4166,200,c:0
6,3,244949,2,270,4821,200,c:20
3,2,379991,2,240,4771,200,c:20
3,1,388403,3,420,4451,220,c:20
3,2,377810,2,280,4541,220,c:20
3,1,388442,3,240,6694,120,c:0
3,2,397191,2,280,6234,200,r:40
3,3,1114128,2,500,10788,300,r:40
4,1,392499,2,220,11408,140,c:20
7,2,389924,3,270,10798,160,c:0
5,1,388544,2,200,8977,140,c:20
3,2,391938,3,420,10602,220,c:0
3,1,332830,2,280,11042,120,c:20
4,4,394851,2,310,11802,260,c:20
9,5,743495,3,410,2878,140,c:0
5,1,395412,2,420,3994,240,c:20
4,4,390572,2,240,4524,140,c:20
5,4,399050,2,580,4644,320,c:20
9,5,354237,3,330,10797,180,c:0
8,2,1115990,3,250,19507,160,c:0
7,1,395398,2,300,20082,180,c:20
3,2,275861,3,300,3964,260,c:0
4,2,393063,2,210,4914,180,c:20
5,2,384062,2,210,7939,140,c:20
