@relation 'Turn Round 1'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
7,1,385922,3,240,104544,80,c:0
3,3,394894,2,290,104274,180,c:40
3,1,392330,2,200,103874,100,c:40
3,1,382190,2,300,104649,180,r:80
3,2,275890,2,210,104879,180,c:40
2,1,377118,2,280,104909,180,c:40
3,1,377290,3,300,104479,100,c:0
5,2,397261,2,410,104339,240,c:40
5,2,366319,2,220,104019,100,c:40
3,1,743672,2,180,102843,120,c:40
3,1,397218,2,380,103923,220,c:40
3,2,386375,2,210,103383,260,c:40
4,1,744742,2,380,103133,180,c:40
4,2,372362,3,240,103153,120,c:0
5,5,399091,2,370,103003,180,c:40
5,2,744190,2,290,103213,160,c:40
3,1,386614,2,240,103063,140,c:40
3,2,1485183,2,420,103293,220,r:80
3,1,2222798,2,160,103713,80,c:40
5,3,368331,2,340,108261,180,c:40
3,1,399416,2,500,107781,280,r:80
4,4,399472,3,980,107441,360,c:40
4,3,388472,3,370,107121,200,c:0
5,1,399556,2,280,107811,160,c:40
5,1,744038,2,460,107761,220,c:40
2,2,1116013,2,440,116750,300,r:80
2,1,397230,2,280,117110,180,c:40
5,2,390473,2,170,116700,80,c:40
6,5,2227787,4,400,118045,100,c:0
3,2,372362,2,250,118420,160,r:80
4,4,1485182,2,340,123522,200,c:40
3,3,392852,2,290,123152,180,c:40
3,3,386259,2,260,123302,160,c:40
3,1,386642,2,300,123262,180,r:80
3,3,744517,2,300,123172,180,c:40
4,4,390991,2,290,122672,180,c:40
4,1,386107,2,120,122312,60,c:40
5,1,390822,2,140,122192,60,c:40
6,1,397177,2,340,122062,160,c:40
3,1,388769,2,200,122242,140,c:40
3,2,397627,2,170,122062,80,c:40
3,1,393230,3,180,121702,60,c:0
3,2,394893,2,410,121842,240,r:80
3,2,383712,2,170,121472,80,c:40
3,2,1115875,2,450,122355,260,r:80
5,2,335379,3,240,122715,200,c:0
4,1,744015,2,280,122955,180,c:40
5,1,743974,2,180,123235,120,c:40
3,1,395443,2,240,122110,120,c:40
2,1,744545,2,200,122090,140,c:40
3,3,744295,2,290,121630,180,c:40
6,2,395231,2,250,111467,160,c:40
2,1,365926,2,280,111567,140,c:40
2,1,743443,2,320,111397,200,r:80
2,1,384443,2,280,110872,220,c:40
4,1,366334,2,200,111967,100,c:40
8,1,744392,3,420,112752,160,c:0
9,2,337717,2,250,112363,200,c:40
9,1,744221,2,340,112573,140,c:40
4,2,399415,2,210,109623,100,c:40
4,2,332998,3,480,101959,160,c:0
4,2,2227906,2,370,101879,220,r:80
3,2,1115550,2,560,119543,320,r:80
2,2,1114651,2,320,119813,280,c:40
4,3,386234,2,240,119983,140,c:40
5,4,744365,2,320,119593,180,c:40
3,2,1116004,2,330,119433,200,c:40
2,1,399106,2,200,118963,100,c:40
